company,category,size,title,level,city,url,updated,filename
Scopio Labs,Health,m,Research and imaging algorithms team lead,Manager,תל אביב - יפו,https://il.linkedin.com/jobs/view/research-and-imaging-algorithms-team-lead-at-scopio-labs-4055465964?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply,2024-10-20,jobs/data-science.csv
Mentee Robotics,Robotics & Automation,s,Deep Learning Researcher,Scientist,הרצליה,https://il.linkedin.com/jobs/view/deep-learning-researcher-at-mentee-robotics-4055492271?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply,2024-10-20,jobs/data-science.csv
Lusha,AdTech,l,Senior Data Scientist,Scientist,תל אביב - יפו,https://www.comeet.com/jobs/lusha/73.00B/senior-data-scientist/06.848?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply,2024-10-19,jobs/data-science.csv
Start.io,AdTech,m,Senior Data Scientist,Scientist,נתניה,https://www.comeet.com/jobs/start.io/B2.004/senior-data-scientist/7E.948?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply,2024-10-19,jobs/data-science.csv
Fetcherr,AI/ML,m,Data Scientist Engineer,Scientist,נתניה,https://www.comeet.com/jobs/fetcherr/68.006/data-scientist-engineer/1F.437?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply,2024-10-18,jobs/data-science.csv
Vimeo,Digital Media,xl,"Sr. Fullstack Developer, AI",Scientist,נס ציונה,https://il.linkedin.com/jobs/view/sr-fullstack-developer-ai-at-vimeo-4033000869?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply,2024-10-18,jobs/data-science.csv
Vimeo,Digital Media,xl,"Sr. Backend Developer, AI",Scientist,נס ציונה,https://il.linkedin.com/jobs/view/sr-backend-developer-ai-at-vimeo-4019549425?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply,2024-10-18,jobs/data-science.csv
Google,Digital Media,xl,"Senior Research Scientist, NLP",Scientist,תל אביב - יפו,https://il.linkedin.com/jobs/view/senior-research-scientist-nlp-at-google-4051864917?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply,2024-10-18,jobs/data-science.csv
General Motors,Automotive,l,AI/ML Staff Engineer,Scientist,הרצליה,https://il.linkedin.com/jobs/view/ai-ml-staff-engineer-at-general-motors-4017517083?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply,2024-10-18,jobs/data-science.csv
HoneyBook,Productivity,l,Senior Data Scientist,Scientist,תל אביב - יפו,https://il.linkedin.com/jobs/view/senior-data-scientist-at-honeybook-4035189857?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply,2024-10-17,jobs/data-science.csv
Amdocs,Telecommunications,l,AI Solutions Sales Lead,Manager,רעננה,https://il.linkedin.com/jobs/view/ai-solutions-sales-lead-at-amdocs-4016535680?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply,2024-10-17,jobs/data-science.csv
Mobileye,Automotive,l,C++ and Python Developer for Algorithmic Team,Scientist,ירושלים,https://il.linkedin.com/jobs/view/c%2B%2B-and-python-developer-for-algorithmic-team-at-mobileye-4033388617?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply,2024-10-17,jobs/data-science.csv
UVeye,Robotics & Automation,m,Director of Algorithms,Executive,תל אביב - יפו,https://il.linkedin.com/jobs/view/director-of-algorithms-at-uveye-4053132405?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply,2024-10-17,jobs/data-science.csv
Microsoft,Productivity,l,Pre sale Specialists - Advanced Analytics & AI,Scientist,הרצליה,https://il.linkedin.com/jobs/view/pre-sale-specialists-advanced-analytics-ai-at-microsoft-4052097012?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply,2024-10-16,jobs/data-science.csv
Riskified,Fintech,l,Data Science Team Lead,Manager,תל אביב - יפו,https://il.linkedin.com/jobs/view/data-science-team-lead-at-riskified-3975176582?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply,2024-10-16,jobs/data-science.csv
Microsoft,Productivity,l,Solution Area Specialists - Azure Data & AI,Scientist,הרצליה,https://il.linkedin.com/jobs/view/solution-area-specialists-azure-data-ai-at-microsoft-4052308618?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply,2024-10-16,jobs/data-science.csv
Mobileye,Automotive,l,Experienced Algorithm Developer,Scientist,ירושלים,https://il.linkedin.com/jobs/view/experienced-algorithm-developer-at-mobileye-3568757557?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply,2024-10-16,jobs/data-science.csv
Meta,Digital Media,xl,"Research Scientist Intern, AI Core Machine Learning (PhD)",Student,תל אביב - יפו,https://il.linkedin.com/jobs/view/research-scientist-intern-ai-core-machine-learning-phd-at-meta-4049516689?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply,2024-10-16,jobs/data-science.csv
Microsoft,Productivity,l,Senior Frontend Engineer – Media AI (Video Indexer) team,Scientist,הרצליה,https://il.linkedin.com/jobs/view/senior-frontend-engineer-%E2%80%93-media-ai-video-indexer-team%E2%80%AF-at-microsoft-4052098490?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply,2024-10-16,jobs/data-science.csv
Trigo,Robotics & Automation,l,Senior Computer Vision DL Researcher,Scientist,רמת גן,https://www.comeet.com/jobs/trigo/A6.005/senior-computer-vision-dl-researcher/39.12A?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply,2024-10-15,jobs/data-science.csv
Cross River Technologies,Fintech,m,Data Scientist,Scientist,תל אביב - יפו,https://www.comeet.com/jobs/crossriver/C7.00F/data-scientist/D5.64C?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply,2024-10-15,jobs/data-science.csv
Cross River Technologies,Fintech,m,Data Scientist Team Lead,Manager,תל אביב - יפו,https://www.comeet.com/jobs/crossriver/C7.00F/data-scientist-team-lead/F5.64E?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply,2024-10-15,jobs/data-science.csv
AxonPulse,AI/ML,s,Computer Vision Engineer,Scientist,תל אביב - יפו,https://il.linkedin.com/jobs/view/computer-vision-engineer-at-axon-pulse-4047497552?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply,2024-10-15,jobs/data-science.csv
